RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Red_reach_cm,Red_stance,Red_dob,Red_ss_landed_per_minute,Red_ss_accuracy,Red_ss_absorbed_per_min,Red_ss_defence,Red_avg_td_per_15,Red_td_accuracy,Red_td_defence,Red_avg_sub_attempt_per_15,Blue_reach_cm,Blue_stance,Blue_dob,Blue_ss_landed_per_minute,Blue_ss_accuracy,Blue_ss_absorbed_per_min,Blue_ss_defence,Blue_avg_td_per_15,Blue_td_accuracy,Blue_td_defence,Blue_avg_sub_attempt_per_15
Jorge Masvidal,Kamaru Usman,0,0,66,94,0,5,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Kamaru Usman,U-DEC,U-DEC,5,5:00,Welterweight,1.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1984-11-12,4.05,47.0,3.05,64.0,1.38,59.0,72.0,4.05,193.04,Switch,1987-05-11,4.16,51.0,2.67,55.0,2.79,44.0,89.0,4.16
Max Holloway,Alexander Volkanovski,0,0,102,137,0,3,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Alexander Volkanovski,S-DEC,S-DEC,5,5:00,Featherweight,1.0,0.0,0.0,0.0,0.0,175.26,Orthodox,1991-12-04,7.2,48.0,4.74,59.0,0.24,53.0,83.0,7.2,180.34,Orthodox,1988-09-29,6.18,56.0,3.36,58.0,1.67,34.0,70.0,6.18
Petr Yan,Jose Aldo,1,0,194,83,1,0,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Petr Yan,KO/TKOPunches,KO/TKOPunches,5,3:24,Bantamweight,1.0,0.0,0.0,0.0,0.0,170.18,Switch,1993-02-11,5.12,54.0,4.14,58.0,1.58,48.0,85.0,5.12,177.8,Orthodox,1986-09-09,3.65,46.0,3.81,60.0,0.47,51.0,92.0,3.65
Rose Namajunas,Jessica Andrade,0,0,82,71,0,1,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Rose Namajunas,S-DEC,S-DEC,3,5:00,Women's Strawweight,0.0,1.0,0.0,0.0,0.0,165.1,Orthodox,1992-06-29,3.6,41.0,3.38,63.0,1.49,50.0,62.0,3.6,157.48,Orthodox,1991-09-25,6.37,48.0,5.58,54.0,2.1,54.0,75.0,6.37
Amanda Ribas,Paige VanZant,0,0,6,3,1,0,1,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Amanda Ribas,SUBArmbar,SUBArmbar,1,2:21,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,167.64,Orthodox,1993-08-26,4.26,39.0,3.29,60.0,2.05,52.0,82.0,4.26,165.1,Orthodox,1994-03-26,3.35,52.0,2.62,42.0,1.27,33.0,34.0,3.35
Jiri Prochazka,Volkan Oezdemir,1,0,33,41,0,0,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Jiri Prochazka,KO/TKOPunch,KO/TKOPunch,2,0:49,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,203.2,Orthodox,1992-10-14,5.69,55.0,5.6,45.0,0.51,60.0,68.0,5.69,190.5,Orthodox,1989-09-19,4.95,48.0,4.22,55.0,0.5,29.0,80.0,4.95
Elizeu Zaleski dos Santos,Muslim Salikhov,0,0,46,40,0,0,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Muslim Salikhov,S-DEC,S-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1986-12-11,4.16,41.0,3.56,55.0,0.79,20.0,67.0,4.16,177.8,Orthodox,1984-06-09,3.39,49.0,2.92,62.0,1.08,32.0,72.0,3.39
Makwan Amirkhani,Danny Henry,0,0,2,6,1,0,1,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Makwan Amirkhani,SUBAnaconda,SUBAnaconda Choke,1,3:15,Featherweight,0.0,0.0,0.0,0.0,0.0,182.88,Southpaw,1988-11-08,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.33,185.42,Orthodox,1988-07-17,5.2,51.0,4.16,45.0,0.74,33.0,50.0,5.2
Roman Bogatov,Leonardo Santos,0,0,50,66,1,1,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Leonardo Santos,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1990-12-15,3.33,42.0,4.4,44.0,1.0,9.0,50.0,3.33,190.5,Orthodox,1980-02-05,2.82,46.0,3.4,54.0,0.88,25.0,86.0,2.82
Maxim Grishin,Marcin Tybura,0,0,18,24,0,3,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Marcin Tybura,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1984-05-02,3.26,52.0,2.27,58.0,0.21,16.0,66.0,3.26,198.12,Orthodox,1985-11-09,3.59,48.0,3.33,55.0,1.38,33.0,75.0,3.59
Zhalgas Zhumagulov,Raulian Paiva,0,0,66,52,2,0,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Raulian Paiva,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,167.64,Switch,1988-08-29,5.24,43.0,5.86,52.0,1.3,19.0,75.0,5.24,175.26,Orthodox,1995-10-17,4.14,42.0,5.01,48.0,0.65,23.0,77.0,4.14
Karol Rosa,Vanessa Melo,0,0,120,45,2,0,0,0,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Karol Rosa,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1994-12-30,5.88,56.0,4.59,49.0,1.17,48.0,70.0,5.88,165.1,Orthodox,1988-03-27,3.48,30.0,6.13,59.0,0.0,0.0,71.0,3.48
Martin Day,Davey Grant,1,1,62,74,0,2,0,1,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Davey Grant,KO/TKOPunch,KO/TKOPunch,3,2:38,Bantamweight,0.0,0.0,1.0,0.0,0.0,185.42,Orthodox,1988-11-10,3.97,45.0,3.79,53.0,0.72,60.0,65.0,3.97,175.26,Orthodox,1985-12-18,5.14,44.0,3.82,55.0,1.03,40.0,63.0,5.14
Dan Hooker,Dustin Poirier,0,0,155,153,4,1,0,4,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Dustin Poirier,U-DEC,U-DEC,5,5:00,Lightweight,0.0,1.0,0.0,0.0,0.0,190.5,Switch,1990-02-13,5.03,48.0,4.72,51.0,0.73,34.0,78.0,5.03,182.88,Southpaw,1989-01-19,5.24,50.0,4.57,52.0,1.15,35.0,64.0,5.24
Mike Perry,Mickey Gall,1,0,76,55,1,0,0,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Mike Perry,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1991-09-15,4.32,47.0,5.16,52.0,0.81,40.0,78.0,4.32,187.96,Switch,1992-01-22,3.5,49.0,4.72,49.0,1.15,32.0,37.0,3.5
Gian Villante,Maurice Greene,1,0,72,63,0,0,0,1,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Maurice Greene,SUBArm,SUBArm Triangle,3,3:44,Heavyweight,0.0,0.0,0.0,0.0,0.0,193.04,Orthodox,1985-08-18,4.38,44.0,5.47,55.0,0.45,23.0,83.0,4.38,203.2,Orthodox,1986-07-05,3.28,45.0,3.61,45.0,0.0,0.0,27.0,3.28
Kyle Daukaus,Brendan Allen,0,1,34,41,3,0,0,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Brendan Allen,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,193.04,Southpaw,1993-02-27,3.25,53.0,2.93,42.0,2.11,25.0,82.0,3.25,190.5,Orthodox,1995-12-28,3.59,53.0,3.62,47.0,1.56,42.0,56.0,3.59
Takashi Sato,Jason Witt,1,0,18,2,0,0,0,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Takashi Sato,KO/TKOPunches,KO/TKOPunches,1,0:48,Welterweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1990-06-09,2.21,41.0,3.73,44.0,0.76,37.0,60.0,2.21,177.8,Orthodox,1986-11-07,2.15,44.0,2.54,52.0,6.9,48.0,100.0,2.15
Julian Erosa,Sean Woodson,0,1,103,106,3,0,1,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Julian Erosa,SUBD'Arce,SUBD'Arce Choke,3,2:44,Catch Weight,0.0,0.0,1.0,0.0,0.0,187.96,Southpaw,1989-07-31,6.21,48.0,6.27,48.0,1.78,43.0,61.0,6.21,198.12,Orthodox,1992-06-07,5.57,46.0,4.18,58.0,0.58,55.0,84.0,5.57
Khama Worthy,Luis Pena,0,0,55,38,0,3,1,3,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Khama Worthy,SUBGuillotine,SUBGuillotine Choke,3,2:53,Lightweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1986-10-15,4.18,48.0,4.45,46.0,0.0,0.0,57.0,4.18,190.5,Southpaw,1993-07-05,3.66,46.0,3.12,51.0,1.17,33.0,48.0,3.66
Tanner Boser,Philipe Lins,1,0,15,6,0,0,0,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Tanner Boser,KO/TKOPunches,KO/TKOPunches,1,2:41,Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1991-08-02,4.7,52.0,2.75,58.0,0.0,0.0,63.0,4.7,198.12,Orthodox,1985-08-17,3.8,49.0,3.59,46.0,1.65,33.0,100.0,3.8
Kay Hansen,Jinh Yu Frey,0,0,31,26,2,0,1,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Kay Hansen,SUBArmbar,SUBArmbar,3,2:26,Women's Strawweight,0.0,0.0,1.0,0.0,0.0,160.02,Orthodox,1999-08-14,3.01,50.0,3.19,51.0,1.83,22.0,37.0,3.01,165.1,Southpaw,1985-05-20,2.97,43.0,4.23,52.0,1.02,36.0,90.0,2.97
Jordan Griffin,Youssef Zalal,0,0,28,59,2,0,0,0,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA",WIN,Youssef Zalal,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1990-02-28,2.52,46.0,3.02,50.0,1.45,35.0,42.0,2.52,182.88,Switch,1996-09-04,3.03,50.0,1.78,66.0,2.17,31.0,59.0,3.03
Alexander Volkov,Curtis Blaydes,0,0,31,69,1,14,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Curtis Blaydes,U-DEC,U-DEC,5,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,203.2,Orthodox,1988-10-24,4.78,57.0,2.86,53.0,0.57,66.0,68.0,4.78,203.2,Orthodox,1991-02-18,3.56,50.0,2.0,58.0,5.38,48.0,31.0,3.56
Shane Burgos,Josh Emmett,0,2,128,127,0,1,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Josh Emmett,U-DEC,U-DEC,3,5:00,Featherweight,0.0,1.0,0.0,0.0,0.0,190.5,Orthodox,1991-03-19,7.4,52.0,6.78,56.0,0.43,44.0,91.0,7.4,177.8,Orthodox,1985-03-04,3.72,35.0,4.43,60.0,1.08,37.0,43.0,3.72
Marion Reneau,Raquel Pennington,0,0,46,107,2,1,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Raquel Pennington,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1977-06-20,3.2,41.0,3.52,59.0,0.62,63.0,50.0,3.2,170.18,Orthodox,1988-09-05,4.1,49.0,3.32,61.0,0.83,27.0,62.0,4.1
Lyman Good,Belal Muhammad,0,0,81,82,0,2,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Belal Muhammad,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1985-05-26,5.34,48.0,4.01,63.0,0.27,100.0,75.0,5.34,182.88,Orthodox,1988-07-09,4.46,43.0,3.78,55.0,2.24,38.0,90.0,4.46
Roosevelt Roberts,Jim Miller,0,0,1,2,0,0,0,1,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Jim Miller,SUBArmbar,SUBArmbar,1,2:25,Catch Weight,0.0,0.0,1.0,0.0,0.0,185.42,Orthodox,1994-02-11,2.84,43.0,3.1,52.0,1.18,26.0,50.0,2.84,180.34,Southpaw,1983-08-30,2.92,42.0,3.44,56.0,1.5,45.0,48.0,2.92
Clay Guida,King Green,0,0,23,85,3,2,0,2,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,King Green,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,1981-12-08,2.63,33.0,3.0,61.0,3.1,35.0,66.0,2.63,180.34,Orthodox,1986-09-09,6.4,52.0,3.72,62.0,1.22,39.0,74.0,6.4
Brianna Fortino,Tecia Pennington,0,0,34,74,2,0,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Tecia Pennington,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,157.48,Southpaw,1993-08-04,3.53,41.0,3.23,57.0,2.5,45.0,66.0,3.53,152.4,Orthodox,1989-08-16,4.78,48.0,3.48,61.0,0.54,13.0,62.0,4.78
Marc-Andre Barriault,Oskar Piechota,1,0,74,37,1,0,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",NCNC,Marc-Andre Barriault,OverturnedPunches,OverturnedPunches,2,4:50,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1990-02-18,5.7,47.0,5.63,50.0,0.37,28.0,68.0,5.7,193.04,Southpaw,1990-01-24,3.3,52.0,3.93,51.0,0.61,40.0,38.0,3.3
Gillian Robertson,Cortney Casey,0,0,21,22,3,0,1,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Gillian Robertson,SUBRear,SUBRear Naked Choke,3,4:36,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,160.02,Orthodox,1995-05-17,2.86,48.0,2.86,56.0,2.74,40.0,41.0,2.86,170.18,Orthodox,1987-05-05,4.29,39.0,4.0,55.0,0.39,31.0,39.0,4.29
Frank Camacho,Justin Jaynes,0,1,4,16,0,0,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Justin Jaynes,KO/TKOPunches,KO/TKOPunches,1,0:41,Lightweight,0.0,0.0,1.0,0.0,0.0,185.42,Orthodox,1989-05-18,6.56,46.0,7.44,51.0,1.11,31.0,73.0,6.56,172.72,Orthodox,1989-08-10,3.34,44.0,5.33,62.0,0.75,40.0,20.0,3.34
Lauren Murphy,Roxanne Modafferi,0,0,72,44,2,0,0,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Lauren Murphy,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1983-07-27,3.94,38.0,5.19,56.0,1.09,24.0,67.0,3.94,175.26,Orthodox,1982-09-24,3.35,30.0,5.7,51.0,1.35,23.0,30.0,3.35
Max Rohskopf,Austin Hubbard,0,0,17,58,2,0,1,0,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA",WIN,Austin Hubbard,KO/TKO,KO/TKO,2,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1994-09-27,1.7,31.0,5.8,42.0,3.0,33.0,0.0,1.7,180.34,Orthodox,1991-12-22,3.97,42.0,4.1,55.0,1.63,28.0,68.0,3.97
Cynthia Calvillo,Jessica Eye,0,0,113,70,4,0,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Cynthia Calvillo,U-DEC,U-DEC,5,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,162.56,Orthodox,1987-07-13,4.41,38.0,4.12,64.0,1.8,44.0,77.0,4.41,167.64,Orthodox,1986-07-27,3.86,37.0,4.19,55.0,0.58,40.0,57.0,3.86
Karl Roberson,Marvin Vettori,0,0,4,45,0,2,0,2,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Marvin Vettori,SUBRear,SUBRear Naked Choke,1,4:17,Middleweight,0.0,0.0,1.0,0.0,0.0,187.96,Southpaw,1990-10-04,2.57,51.0,2.42,57.0,0.72,40.0,40.0,2.57,187.96,Southpaw,1993-09-20,4.68,45.0,4.52,56.0,1.43,45.0,65.0,4.68
Kevin Aguilar,Charles Rosa,0,0,53,69,0,0,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Charles Rosa,S-DEC,S-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1988-09-07,3.96,40.0,4.81,52.0,0.16,16.0,78.0,3.96,175.26,Switch,1986-08-24,3.08,36.0,3.86,47.0,1.67,35.0,38.0,3.08
Charles Jourdain,Andre Fili,1,0,62,44,0,5,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Andre Fili,S-DEC,S-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,175.26,Switch,1995-11-27,5.48,49.0,4.25,56.0,0.33,21.0,47.0,5.48,187.96,Orthodox,1990-06-25,3.87,37.0,4.23,51.0,2.22,45.0,71.0,3.87
Mark De La Rosa,Jordan Espinosa,0,0,37,126,0,2,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Jordan Espinosa,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1994-08-31,3.13,35.0,5.0,48.0,0.54,13.0,40.0,3.13,175.26,Orthodox,1989-11-08,4.22,52.0,2.94,57.0,0.75,28.0,70.0,4.22
Mariya Agapova,Hannah Cifers,1,0,29,11,0,0,1,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Mariya Agapova,SUBRear,SUBRear Naked Choke,1,2:42,Women's Flyweight,0.0,0.0,1.0,0.0,0.0,172.72,Southpaw,1997-04-07,4.43,54.0,3.62,52.0,0.55,66.0,45.0,4.43,157.48,Orthodox,1992-06-26,4.99,44.0,5.39,52.0,0.26,100.0,64.0,4.99
Merab Dvalishvili,Gustavo Lopez,0,0,73,14,13,0,2,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Merab Dvalishvili,U-DEC,U-DEC,3,5:00,Catch Weight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1991-01-10,4.33,42.0,2.55,56.0,6.4,37.0,82.0,4.33,170.18,Orthodox,1989-06-27,2.48,40.0,3.87,57.0,1.74,41.0,31.0,2.48
Gina Mazany,Julia Avila,0,0,2,11,0,0,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Julia Avila,KO/TKOPunches,KO/TKOPunches,1,0:22,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,172.72,Southpaw,1988-08-19,3.73,50.0,3.52,50.0,4.34,52.0,33.0,3.73,172.72,Orthodox,1988-05-11,2.81,42.0,3.28,55.0,0.63,37.0,52.0,2.81
Zarrukh Adashev,Tyson Nam,0,1,2,2,0,0,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Tyson Nam,KO/TKOPunch,KO/TKOPunch,1,0:32,Bantamweight,0.0,0.0,1.0,0.0,0.0,165.1,Southpaw,1992-07-29,3.65,40.0,3.04,64.0,0.0,0.0,100.0,3.65,172.72,Orthodox,1983-10-06,3.87,33.0,4.97,65.0,0.0,0.0,87.0,3.87
Christian Aguilera,Anthony Ivy,0,0,10,4,0,0,0,0,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA",WIN,Christian Aguilera,KO/TKOPunches,KO/TKOPunches,1,0:59,Welterweight,0.0,0.0,1.0,0.0,0.0,182.88,Switch,1991-11-25,2.54,37.0,4.04,48.0,0.0,0.0,60.0,2.54,187.96,Orthodox,1990-01-23,2.5,42.0,4.57,51.0,4.69,20.0,100.0,2.5
Felicia Spencer,Amanda Nunes,0,0,42,124,0,6,0,1,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Amanda Nunes,U-DEC,U-DEC,5,5:00,Women's Featherweight,1.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1990-11-29,3.21,48.0,4.54,45.0,1.18,18.0,27.0,3.21,175.26,Orthodox,1988-05-30,4.55,51.0,2.62,57.0,2.73,54.0,82.0,4.55
Cody Garbrandt,Raphael Assuncao,1,0,19,17,0,0,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Cody Garbrandt,KO/TKOPunch,KO/TKOPunch,2,4:59,Bantamweight,0.0,0.0,1.0,0.0,0.0,165.1,Orthodox,1991-07-07,2.88,39.0,3.64,59.0,0.93,27.0,83.0,2.88,167.64,Orthodox,1982-07-19,3.22,42.0,2.5,66.0,1.65,39.0,78.0,3.22
Aljamain Sterling,Cory Sandhagen,0,0,2,1,0,0,2,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Aljamain Sterling,SUBRear,SUBRear Naked Choke,1,1:28,Bantamweight,0.0,0.0,1.0,0.0,0.0,180.34,Orthodox,1989-07-31,4.45,52.0,2.21,59.0,2.45,30.0,44.0,4.45,177.8,Switch,1992-04-20,4.86,45.0,3.47,56.0,1.15,34.0,56.0,4.86
Neil Magny,Anthony Rocco Martin,0,0,64,37,0,1,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Neil Magny,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,203.2,Orthodox,1987-08-03,3.41,46.0,2.44,51.0,2.18,39.0,55.0,3.41,185.42,Orthodox,1989-12-11,2.68,37.0,2.59,58.0,0.71,27.0,68.0,2.68
Eddie Wineland,Sean O'Malley,0,1,4,13,0,0,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Sean O'Malley,KO/TKOPunch,KO/TKOPunch,1,1:54,Bantamweight,0.0,0.0,1.0,0.0,0.0,175.26,Orthodox,1984-06-26,3.4,29.0,3.76,68.0,0.34,33.0,86.0,3.4,182.88,Switch,1994-10-24,6.3,61.0,3.48,60.0,0.27,42.0,61.0,6.3
Alex Caceres,Chase Hooper,1,0,103,53,1,0,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Alex Caceres,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1988-06-20,4.21,49.0,3.09,62.0,0.54,68.0,64.0,4.21,187.96,Southpaw,1999-09-13,4.51,49.0,2.98,39.0,2.49,33.0,55.0,4.51
Ian Heinisch,Gerald Meerschaert,1,0,20,3,0,0,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Ian Heinisch,KO/TKOPunch,KO/TKOPunch,1,1:14,Middleweight,0.0,0.0,0.0,0.0,0.0,182.88,Orthodox,1988-08-05,3.25,50.0,2.98,59.0,1.02,17.0,59.0,3.25,195.58,Southpaw,1987-12-18,3.02,45.0,3.49,53.0,1.83,30.0,42.0,3.02
Cody Stamann,Brian Kelleher,0,0,89,57,2,1,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Cody Stamann,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,162.56,Orthodox,1989-11-09,4.32,46.0,3.91,60.0,2.17,37.0,76.0,4.32,167.64,Switch,1986-08-19,3.31,41.0,4.59,54.0,1.68,41.0,60.0,3.31
Maki Pitolo,Charles Byrd,0,0,29,11,3,1,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Maki Pitolo,KO/TKOPunches,KO/TKOPunches,2,1:10,Middleweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1990-11-24,4.1,44.0,3.93,55.0,2.24,52.0,50.0,4.1,185.42,Orthodox,1983-10-11,3.43,55.0,2.63,55.0,2.5,50.0,40.0,3.43
Alex Perez,Jussier Formiga,2,0,29,18,0,0,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Alex Perez,KO/TKOKick,KO/TKOKick,1,4:06,Flyweight,0.0,0.0,1.0,0.0,0.0,165.1,Orthodox,1992-03-21,4.19,46.0,3.2,58.0,2.04,46.0,77.0,4.19,170.18,Orthodox,1985-04-14,1.42,39.0,2.34,64.0,1.82,35.0,87.0,1.42
Devin Clark,Alonzo Menifield,0,0,79,39,1,0,0,0,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA",WIN,Devin Clark,U-DEC,U-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1990-04-12,3.03,54.0,3.24,44.0,2.17,32.0,58.0,3.03,193.04,Orthodox,1987-10-18,3.79,53.0,3.76,50.0,0.5,31.0,78.0,3.79
